dataset,profile_id,layer_id,profile_code,layer_name,longitude,latitude,country_name,region,continent,date,dataset_id,upper_depth,lower_depth,layer_thickness_cm,organic_surface,BDOD,OrgC,TOTC,OrgC_Stock,TOTC_Stock
WOSIS 2023,1211732,3351349,S4,NA,-112.353385925293,59.4401664733887,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,45,60,15,FALSE,1.45,2.2,25.3,4.785,55.02750000000001
WOSIS 2023,1216582,792090,87P0590,B/E,-67.3663863999999,46.9111099,Canada,Northern America,Northern America,1987-6-1,US-NCSS,4,10,6,FALSE,1.72,7.4,7.8,7.636799999999999,8.049600000000002
WOSIS 2023,1216582,792091,87P0590,Bs1,-67.3663863999999,46.9111099,Canada,Northern America,Northern America,1987-6-1,US-NCSS,10,19,9,FALSE,1.61,15.8,16.6,22.8942,24.053400000000003
WOSIS 2023,1216582,792092,87P0590,Bs2,-67.3663863999999,46.9111099,Canada,Northern America,Northern America,1987-6-1,US-NCSS,19,29,10,FALSE,1.61,8.3,8.5,13.363000000000003,13.684999999999999
WOSIS 2023,1216582,792093,87P0590,Bs3,-67.3663863999999,46.9111099,Canada,Northern America,Northern America,1987-6-1,US-NCSS,29,48,19,FALSE,1.79,3.4,3.3,11.5634,11.2233
WOSIS 2023,1216582,792094,87P0590,Bt,-67.3663863999999,46.9111099,Canada,Northern America,Northern America,1987-6-1,US-NCSS,48,70,22,FALSE,2.01,1.8,1.8,7.9596,7.9596
WOSIS 2023,1216582,792095,87P0590,C,-67.3663863999999,46.9111099,Canada,Northern America,Northern America,1987-6-1,US-NCSS,70,100,30,FALSE,2.02,0.8,12.9,4.848000000000001,78.174
WOSIS 2023,1216583,792097,87P0591,E,-65.6794433999999,46.9680557,Canada,Northern America,Northern America,1987-6-1,US-NCSS,4,19,15,FALSE,1.43,8.8,7.6,18.875999999999998,16.302
WOSIS 2023,1216583,792098,87P0591,Bs1,-65.6794433999999,46.9680557,Canada,Northern America,Northern America,1987-6-1,US-NCSS,19,28,9,FALSE,1.22,23,26.5,25.253999999999998,29.096999999999998
WOSIS 2023,1216583,792099,87P0591,Bs2,-65.6794433999999,46.9680557,Canada,Northern America,Northern America,1987-6-1,US-NCSS,28,44,16,FALSE,1.7,5,5.7,13.6,15.504
WOSIS 2023,1216583,792100,87P0591,NA,-65.6794433999999,46.9680557,Canada,Northern America,Northern America,1987-6-1,US-NCSS,44,56,12,FALSE,2.06,2.3,2.7,5.685599999999999,6.6744
WOSIS 2023,1216583,792101,87P0591,C,-65.6794433999999,46.9680557,Canada,Northern America,Northern America,1987-6-1,US-NCSS,56,79,23,FALSE,2.03,2,1.6,9.338,7.4704
WOSIS 2023,1216584,792102,87P0592,E,-65.4552764999999,46.8036117999999,Canada,Northern America,Northern America,1987-6-1,US-NCSS,0,23,23,FALSE,1.41,4.9,5.4,15.890699999999999,17.5122
WOSIS 2023,1216584,792104,87P0592,Bs2,-65.4552764999999,46.8036117999999,Canada,Northern America,Northern America,1987-6-1,US-NCSS,32,43,11,FALSE,1.68,1,0.8,1.848,1.4784000000000002
WOSIS 2023,1216584,792105,87P0592,BC1,-65.4552764999999,46.8036117999999,Canada,Northern America,Northern America,1987-6-1,US-NCSS,43,64,21,FALSE,1.66,0.8,0.7,2.7888,2.4402
WOSIS 2023,1216584,792106,87P0592,BC2,-65.4552764999999,46.8036117999999,Canada,Northern America,Northern America,1987-6-1,US-NCSS,64,84,20,FALSE,1.62,0.8,0.7,2.5920000000000005,2.268
WOSIS 2023,1283790,630389,04N0317,Bw,-119.5602798,73.2213897999999,Canada,Northern America,Northern America,2003-6-29,US-NCSS,0,35,35,FALSE,1.81,NA,38.6,NA,244.531
